1,2,3,4,5,6,7,8,9,label
sunka,chleba ve spodu,papricka,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
syr,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,syr,chleba na vrchu,none,none,none,1
papricka,chleba na vrchu,podlaha,stul,sunka,none,none,none,none,0
podlaha,chleba ve spodu,vajicka,maslo,syr,chleba na vrchu,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
papricka,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,papricka,chleba na vrchu,none,none,none,1
papricka,none,none,none,none,none,none,none,none,0
vajicka,chleba ve spodu,sunka,maslo,papricka,none,none,none,none,0
chleba ve spodu,papricka,stul,vajicka,podlaha,none,none,none,none,0
papricka,none,none,none,none,none,none,none,none,0
sunka,chleba ve spodu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,none,none,none,none,1
chleba na vrchu,stul,sunka,vajicka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
syr,podlaha,stul,sunka,none,none,none,none,none,0
chleba na vrchu,syr,vajicka,sunka,chleba ve spodu,none,none,none,none,0
chleba ve spodu,podlaha,papricka,chleba na vrchu,stul,vajicka,sunka,maslo,none,0
podlaha,stul,chleba ve spodu,sunka,syr,papricka,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,none,none,none,none,none,1
chleba ve spodu,chleba na vrchu,syr,none,none,none,none,none,none,0
stul,chleba na vrchu,none,none,none,none,none,none,none,0
maslo,syr,none,none,none,none,none,none,none,0
chleba ve spodu,papricka,podlaha,syr,stul,none,none,none,none,0
podlaha,stul,chleba ve spodu,syr,none,none,none,none,none,1
vajicka,maslo,syr,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,0
papricka,chleba ve spodu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,syr,chleba na vrchu,none,none,none,1
syr,podlaha,chleba na vrchu,maslo,sunka,papricka,none,none,none,0
podlaha,syr,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,chleba na vrchu,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
vajicka,stul,chleba na vrchu,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,sunka,chleba na vrchu,none,none,none,1
podlaha,stul,chleba ve spodu,sunka,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,syr,none,none,none,none,1
vajicka,stul,podlaha,syr,chleba ve spodu,sunka,none,none,none,0
stul,none,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,papricka,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,chleba na vrchu,none,none,none,none,1
stul,maslo,chleba na vrchu,chleba ve spodu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,chleba na vrchu,none,none,1
podlaha,stul,chleba ve spodu,maslo,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
papricka,podlaha,none,none,none,none,none,none,none,0
chleba ve spodu,sunka,podlaha,maslo,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,vajicka,papricka,none,none,none,1
maslo,stul,podlaha,chleba na vrchu,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,chleba na vrchu,none,none,none,none,1
chleba ve spodu,stul,syr,sunka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,maslo,papricka,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,chleba na vrchu,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
podlaha,syr,maslo,papricka,none,none,none,none,none,0
vajicka,chleba na vrchu,podlaha,papricka,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,sunka,syr,none,none,none,none,1
podlaha,stul,chleba ve spodu,syr,papricka,chleba na vrchu,none,none,none,1
sunka,chleba na vrchu,none,none,none,none,none,none,none,0
podlaha,stul,chleba ve spodu,none,none,none,none,none,none,1
podlaha,stul,chleba ve spodu,maslo,vajicka,none,none,none,none,1
maslo,chleba na vrchu,stul,podlaha,syr,chleba ve spodu,sunka,none,none,0
